class id,course prefix,course number,section,term,call number,class title,class subtitle,status,instructors,schedule,enrollment,max enroll,core area,sess,ues,ues+,ues%,col,dept,act,sess,insts,asst count,textbooks,syllabus
acct2301.002.17s,acct,2301 ,002 ,17s,24323 ,Introductory Financial Accounting ,,Open,Lisa Williams,"Mon, Wed & Fri : 10:00am-10:50am : SOM_1.212",124,1, ,1,do_eval,,,mgt,mgmt,lec,1,lisacw,0,"9781118953907,9781118552551,9781118953815 ",syl
acct2301.003.17s,acct,2301 ,003 ,17s,24324 ,Introductory Financial Accounting ,,Open,Richard Bowen,Tues & Thurs : 2:30pm-3:45pm : SOM_1.107,74,1, ,1,do_eval,,,mgt,mgmt,lec,1,rxb073100,1,"9781119221647,9781118953860 ",syl
acct2301.001.17s,acct,2301 ,001 ,17s,24325 ,Introductory Financial Accounting ,,Open,Lisa Williams,"Mon, Wed & Fri : 8:00am-8:50am : SOM_2.717",24,51, ,1,do_eval,,,mgt,mgmt,lec,1,lisacw,0,"9781118953907,9781118552551,9781118953815 ",syl
acct2301.005.17s,acct,2301 ,005 ,17s,24326 ,Introductory Financial Accounting ,,Open,Amy Troutman,Mon & Wed : 10:00am-11:15am : SOM_1.117,74,1, ,1,do_eval,,,mgt,mgmt,lec,1,amybass,1,"9781118162286,9781118562178 ",syl
acct2301.004.17s,acct,2301 ,004 ,17s,25263 ,Introductory Financial Accounting ,,Open,Xiang Yu Huang,Tues & Thurs : 4:00pm-5:15pm : SOM_1.102,74,1, ,1,do_eval,,,mgt,mgmt,lec,1,xxh110330,0,"9781118162286,9781118562178 ",syl
acct2301.501.17s,acct,2301 ,501 ,17s,26903 ,Introductory Financial Accounting ,,Open,Richard Bowen,Thurs : 7:00pm-9:45pm : SOM_2.803,27,21, ,1,do_eval,,,mgt,mgmt,lec,1,rxb073100,1,"9781119221647,9781118953860 ",syl
acct2302.004.17s,acct,2302 ,004 ,17s,24460 ,Introductory Management Accounting ,,Open,Zhonglan Dai,Tues & Thurs : 11:30am-12:45pm : SOM_2.722,62,28, ,1,do_eval,,,mgt,mgmt,lec,1,zxd051000,1,"9780078025631,9780077522957 ",syl
acct2302.501.17s,acct,2302 ,501 ,17s,24461 ,Introductory Management Accounting ,,Open,Stephanie Swaim,Thurs : 7:00pm-9:45pm : SOM_1.212,83,42, ,1,do_eval,,,mgt,mgmt,lec,1,srp065000,1,9781259890703 ,syl
acct2302.003.17s,acct,2302 ,003 ,17s,24327 ,Introductory Management Accounting ,,Open,Zhonglan Dai,Tues & Thurs : 10:00am-11:15am : SOM_2.804,39,10, ,1,do_eval,,,mgt,mgmt,lec,1,zxd051000,1,"9780078025631,9780077522957 ",syl
acct2302.002.17s,acct,2302 ,002 ,17s,24328 ,Introductory Management Accounting ,,Closed,John Barden,"Mon, Wed & Fri : 9:00am-9:50am : SOM_2.722",90,0, ,1,do_eval,,,mgt,mgmt,lec,1,jpb063000,1,9781119122067 ,syl
acct2302.001.17s,acct,2302 ,001 ,17s,24329 ,Introductory Management Accounting ,,Closed,John Barden,"Mon, Wed & Fri : 8:00am-8:50am : SOM_2.722",90,0, ,1,do_eval,,,mgt,mgmt,lec,1,jpb063000,1,9781119122067 , 
acct2302.hon.17s,acct,2302 ,hon ,17s,24958 ,Introductory Management Accounting ,Honors,Open,John Barden,Mon & Wed : 1:00pm-2:15pm : SOM_12.222,44,16, ,1,do_eval,,,mgt,mgmt,lec,1,jpb063000,1,9781119122067 ,syl
acct3100.001.17s,acct,3100 ,001 ,17s,24462 ,Professional Development ,,Closed,John Watson,Mon : 10:00am-10:50am : SOM_2.102,40,0, ,1,do_eval,,,mgt,mgmt,lec,1,jmw077000,0,9781337119269 ,syl
acct3100.002.17s,acct,3100 ,002 ,17s,24464 ,Professional Development ,,Open,Jeanne Sluder,Tues : 9:00am-9:50am : SOM_2.904,37,3, ,1,do_eval,,,mgt,mgmt,lec,1,jis081000,0,9781337119269 ,syl
acct3100.003.17s,acct,3100 ,003 ,17s,25073 ,Professional Development ,,Closed,Kathryn Lookadoo,Thurs : 11:00am-11:50am : SOM_11.210,40,0, ,1,do_eval,,,mgt,mgmt,lec,1,kxl164330,1,9781337119269 ,syl
acct3100.501.17s,acct,3100 ,501 ,17s,25074 ,Professional Development ,,Open,Rebecca Newcomb,Tues : 5:00pm-5:50pm : SOM_2.904,36,4, ,1,do_eval,,,mgt,mgmt,lec,1,rgn100020,0,9781337119269 ,syl
acct3101.ppa.17s,acct,3101 ,ppa ,17s,26904 ,Professional Program in Accounting Lyceum ,,Open,Amy Troutman,Tues & Thurs : 4:00pm-4:50pm : SOM_2.115,86,14, ,1,do_eval,,,mgt,mgmt,lec,1,amybass,1, ,syl
acct3322.001.17s,acct,3322 ,001 ,17s,24334 ,Integrated Accounting Information Systems ,,Closed,Mary Beth Goodrich,Tues & Thurs : 11:30am-12:45pm : SOM_12.210,56,0, ,1,do_eval,,,mgt,mgmt,lec,1,goodrich,1,9781592294299 ,syl
acct3331.001.17s,acct,3331 ,001 ,17s,24335 ,Intermediate Financial Accounting I ,,Open,Rebecca Files,Mon & Wed : 2:30pm-3:45pm : SOM_12.214,59,1, ,1,do_eval,,,mgt,mgmt,lec,1,rlf092000,1,"9781119231561,9781119309260,9781119170808 ",syl
